Shop Name,Link
Kazi Technology,https://www.google.com/maps/place/Kazi+Technology/data=!4m7!3m6!1s0x3755c0d692206ed5:0xf53955f178dc46ef!8m2!3d23.8066302!4d90.3690243!16s%2Fg%2F11gbzcmw5t!19sChIJ1W4gktbAVTcR70bcePFVOfU?authuser=0&hl=en&rclk=1
SS Computer | Mirpur-10,https://www.google.com/maps/place/SS+Computer+%7C+Mirpur-10/data=!4m7!3m6!1s0x3755c1fdeb5c3bbf:0x23a36af34a532d0!8m2!3d23.8065524!4d90.36971!16s%2Fg%2F11lbxwsbr2!19sChIJvztc6_3BVTcR0DKlNK82OgI?authuser=0&hl=en&rclk=1
Laptop World BD,https://www.google.com/maps/place/Laptop+World+BD/data=!4m7!3m6!1s0x3755c0d692c00001:0x8c8cbee90af0151c!8m2!3d23.8064168!4d90.3695264!16s%2Fg%2F11h_vvkhdk!19sChIJAQDAktbAVTcRHBXwCum-jIw?authuser=0&hl=en&rclk=1
You Tech BD,https://www.google.com/maps/place/You+Tech+BD/data=!4m7!3m6!1s0x3755c0b7c93ec59b:0x1f9ebda108706a47!8m2!3d23.8057465!4d90.3685768!16s%2Fg%2F12lr_8z4f!19sChIJm8U-ybfAVTcRR2pwCKG9nh8?authuser=0&hl=en&rclk=1
Green Technology,https://www.google.com/maps/place/Green+Technology/data=!4m7!3m6!1s0x3755c19d7d8acd05:0x2dc0062b6175cefe!8m2!3d23.7991441!4d90.3528902!16s%2Fg%2F11gjx12f8n!19sChIJBc2KfZ3BVTcR_s51YSsGwC0?authuser=0&hl=en&rclk=1
World Computer System,https://www.google.com/maps/place/World+Computer+System/data=!4m7!3m6!1s0x3755c0d986915a5b:0x68c09c2ac0572f78!8m2!3d23.8066302!4d90.3690243!16s%2Fg%2F11c2lgpm14!19sChIJW1qRhtnAVTcReC9XwCqcwGg?authuser=0&hl=en&rclk=1
Laptop Source,https://www.google.com/maps/place/Laptop+Source/data=!4m7!3m6!1s0x3755c17507408cb1:0x7a2c2e1cef798adc!8m2!3d23.8048078!4d90.3693214!16s%2Fg%2F11sh00sz89!19sChIJsYxAB3XBVTcR3Ip57xwuLHo?authuser=0&hl=en&rclk=1
IT BD Shop,https://www.google.com/maps/place/IT+BD+Shop/data=!4m7!3m6!1s0x3755c1d4eefc6ac1:0x8bbea2b6bd8edee1!8m2!3d23.8061817!4d90.3681095!16s%2Fg%2F11qrt7877p!19sChIJwWr87tTBVTcR4d6Ovbaivos?authuser=0&hl=en&rclk=1
21 Technology,https://www.google.com/maps/place/21+Technology/data=!4m7!3m6!1s0x3755c7bc6bb0c7f5:0x818a61a6f3cf1ddd!8m2!3d23.8062797!4d90.3690347!16s%2Fg%2F11h39ymk0b!19sChIJ9cewa7zHVTcR3R3P86ZhioE?authuser=0&hl=en&rclk=1
Laptop Territory,https://www.google.com/maps/place/Laptop+Territory/data=!4m7!3m6!1s0x3755c1a619ea7619:0x2c1024a455ea0cc3!8m2!3d23.8064171!4d90.3695265!16s%2Fg%2F11t40hg8pz!19sChIJGXbqGabBVTcRwwzqVaQkECw?authuser=0&hl=en&rclk=1
GAMO TECH,https://www.google.com/maps/place/GAMO+TECH/data=!4m7!3m6!1s0x3755c77952904999:0x6aa525ae586dcb87!8m2!3d23.8380143!4d90.3755704!16s%2Fg%2F11n6wtp562!19sChIJmUmQUnnHVTcRh8ttWK4lpWo?authuser=0&hl=en&rclk=1
Laptop Station,https://www.google.com/maps/place/Laptop+Station/data=!4m7!3m6!1s0x3755c121814befad:0x5cd59c0601c8acdb!8m2!3d23.806049!4d90.3681469!16s%2Fg%2F11v05cl6ld!19sChIJre9LgSHBVTcR26zIAQac1Vw?authuser=0&hl=en&rclk=1
Laptop Lounge,https://www.google.com/maps/place/Laptop+Lounge/data=!4m7!3m6!1s0x3755c127c805023d:0xa81697ca2189d53f!8m2!3d23.8064347!4d90.3701497!16s%2Fg%2F11vyytrzh_!19sChIJPQIFyCfBVTcRP9WJIcqXFqg?authuser=0&hl=en&rclk=1
Computer Castle,https://www.google.com/maps/place/Computer+Castle/data=!4m7!3m6!1s0x3755c0d692c8058d:0xc6efcda65084cab8!8m2!3d23.8068552!4d90.3690349!16s%2Fg%2F11b7q2pm2s!19sChIJjQXIktbAVTcRuMqEUKbN78Y?authuser=0&hl=en&rclk=1
Computer Point,https://www.google.com/maps/place/Computer+Point/data=!4m7!3m6!1s0x3755c0e880f03f13:0x3e7a85782d8be049!8m2!3d23.7981785!4d90.3536896!16s%2Fg%2F11fzb07hbz!19sChIJEz_wgOjAVTcRSeCLLXiFej4?authuser=0&hl=en&rclk=1
Planet it BD,https://www.google.com/maps/place/Planet+it+BD/data=!4m7!3m6!1s0x3755c133bae75af9:0x983c52a985ee35f0!8m2!3d23.8058214!4d90.3681436!16s%2Fg%2F11j4wjlcvt!19sChIJ-VrnujPBVTcR8DXuhalSPJg?authuser=0&hl=en&rclk=1
AR Computers,https://www.google.com/maps/place/AR+Computers/data=!4m7!3m6!1s0x3755c0d692b2204f:0xb1dd0520e761f525!8m2!3d23.8066118!4d90.369202!16s%2Fg%2F11cjj55mwz!19sChIJTyCyktbAVTcRJfVh5yAF3bE?authuser=0&hl=en&rclk=1
iT Valley,https://www.google.com/maps/place/iT+Valley/data=!4m7!3m6!1s0x3755c7b98a194e9b:0xef17bf5d373504a5!8m2!3d23.7898293!4d90.3757411!16s%2Fg%2F11pv4vvfyw!19sChIJm04ZirnHVTcRpQQ1N12_F-8?authuser=0&hl=en&rclk=1
MC Solution BD ( Mirpur Branch ),https://www.google.com/maps/place/MC+Solution+BD+%28+Mirpur+Branch+%29/data=!4m7!3m6!1s0x3755c152865b0fa1:0xeb912ddf4abb146e!8m2!3d23.8067029!4d90.3689214!16s%2Fg%2F11pcw_lm96!19sChIJoQ9bhlLBVTcRbhS7St8tkes?authuser=0&hl=en&rclk=1
Laptop House BD,https://www.google.com/maps/place/Laptop+House+BD/data=!4m7!3m6!1s0x3755c1714b31d757:0xedf34c994414d5b5!8m2!3d23.8062999!4d90.3678818!16s%2Fg%2F11j305bn8z!19sChIJV9cxS3HBVTcRtdUURJlM8-0?authuser=0&hl=en&rclk=1
Apollo Gadget,https://www.google.com/maps/place/Apollo+Gadget/data=!4m7!3m6!1s0x3755c164bcbb6569:0x102eecd8ec7ec22a!8m2!3d23.8057261!4d90.3677736!16s%2Fg%2F11rtvmnqrv!19sChIJaWW7vGTBVTcRKsJ-7NjsLhA?authuser=0&hl=en&rclk=1
laptop mart,https://www.google.com/maps/place/laptop+mart/data=!4m7!3m6!1s0x3755c13470d52d43:0x3fcc963c658839f1!8m2!3d23.8066576!4d90.3696627!16s%2Fg%2F11rwsb5k24!19sChIJQy3VcDTBVTcR8TmIZTyWzD8?authuser=0&hl=en&rclk=1
Computer Castle,https://www.google.com/maps/place/Computer+Castle/data=!4m7!3m6!1s0x3755c0d692c8058d:0xc6efcda65084cab8!8m2!3d23.8068552!4d90.3690349!16s%2Fg%2F11b7q2pm2s!19sChIJjQXIktbAVTcRuMqEUKbN78Y?authuser=0&hl=en&rclk=1
R Computer Plus,https://www.google.com/maps/place/R+Computer+Plus/data=!4m7!3m6!1s0x3755c1c4f8ade5ab:0x123aa50fc8147282!8m2!3d23.8159634!4d90.3668719!16s%2Fg%2F11h0qz6ll_!19sChIJq-Wt-MTBVTcRgnIUyA-lOhI?authuser=0&hl=en&rclk=1
Laptop House BD,https://www.google.com/maps/place/Laptop+House+BD/data=!4m7!3m6!1s0x3755c1714b31d757:0xedf34c994414d5b5!8m2!3d23.8062999!4d90.3678818!16s%2Fg%2F11j305bn8z!19sChIJV9cxS3HBVTcRtdUURJlM8-0?authuser=0&hl=en&rclk=1
o2 Trade International,https://www.google.com/maps/place/o2+Trade+International/data=!4m7!3m6!1s0x3755c0d6f3cc1b05:0x9b22bf70261e9cbc!8m2!3d23.8069168!4d90.3688461!16s%2Fg%2F11gfh_bzpr!19sChIJBRvM89bAVTcRvJweJnC_Ips?authuser=0&hl=en&rclk=1
Treematrik,https://www.google.com/maps/place/Treematrik/data=!4m7!3m6!1s0x3755c13af199c295:0xcbffaf51c4411c44!8m2!3d23.8247451!4d90.3638889!16s%2Fg%2F11fz9z6hqv!19sChIJlcKZ8TrBVTcRRBxBxFGv_8s?authuser=0&hl=en&rclk=1
SK Computer,https://www.google.com/maps/place/SK+Computer/data=!4m7!3m6!1s0x3755c12dfc243503:0xb8847ed4f72925a3!8m2!3d23.8131831!4d90.3696263!16s%2Fg%2F11r2hgmy_v!19sChIJAzUk_C3BVTcRoyUp99R-hLg?authuser=0&hl=en&rclk=1
Computer Point,https://www.google.com/maps/place/Computer+Point/data=!4m7!3m6!1s0x3755c0e880f03f13:0x3e7a85782d8be049!8m2!3d23.7981785!4d90.3536896!16s%2Fg%2F11fzb07hbz!19sChIJEz_wgOjAVTcRSeCLLXiFej4?authuser=0&hl=en&rclk=1
Faruk IT Solution,https://www.google.com/maps/place/Faruk+IT+Solution/data=!4m7!3m6!1s0x3755c186c51560b3:0x29e5aa26370f32de!8m2!3d23.8055631!4d90.3689697!16s%2Fg%2F11fjmg2586!19sChIJs2AVxYbBVTcR3jIPNyaq5Sk?authuser=0&hl=en&rclk=1
An Noor IT Source,https://www.google.com/maps/place/An+Noor+IT+Source/data=!4m7!3m6!1s0x3755c0d68da727e9:0x70249a9770f2a06d!8m2!3d23.8066302!4d90.3690243!16s%2Fg%2F11by_l0n98!19sChIJ6SenjdbAVTcRbaDycJeaJHA?authuser=0&hl=en&rclk=1
"Nexus Computer - Buy Laptop, Desktop, Computer accessories in Bangladesh","https://www.google.com/maps/place/Nexus+Computer+-+Buy+Laptop,+Desktop,+Computer+accessories+in+Bangladesh/data=!4m7!3m6!1s0x3755c74c27bb8ff7:0xa03907452af45284!8m2!3d23.7783624!4d90.3795762!16s%2Fg%2F11f3zt6w9b!19sChIJ94-7J0zHVTcRhFL0KkUHOaA?authuser=0&hl=en&rclk=1"
Takwoa Laptop Zone,https://www.google.com/maps/place/Takwoa+Laptop+Zone/data=!4m7!3m6!1s0x3755c12f2a3b5a79:0x305e46a50a2a672d!8m2!3d23.8216322!4d90.378171!16s%2Fg%2F11t859gd2l!19sChIJeVo7Ki_BVTcRLWcqCqVGXjA?authuser=0&hl=en&rclk=1
Proven Computer,https://www.google.com/maps/place/Proven+Computer/data=!4m7!3m6!1s0x3755c1006eac34f7:0xb9da58de486aae50!8m2!3d23.8074719!4d90.36885!16s%2Fg%2F11vzb059h7!19sChIJ9zSsbgDBVTcRUK5qSN5Y2rk?authuser=0&hl=en&rclk=1
𝗔𝗕𝗡 𝗧𝗲𝗰𝗵𝗻𝗼𝗹𝗼𝗴𝘆 | 𝗕𝗲𝘀𝘁 𝗨𝘀𝗲𝗱 𝗟𝗮𝗽𝘁𝗼𝗽 𝗦𝗵𝗼𝗽 𝗶𝗻 𝗗𝗵𝗮𝗸𝗮,https://www.google.com/maps/place/%F0%9D%97%94%F0%9D%97%95%F0%9D%97%A1+%F0%9D%97%A7%F0%9D%97%B2%F0%9D%97%B0%F0%9D%97%B5%F0%9D%97%BB%F0%9D%97%BC%F0%9D%97%B9%F0%9D%97%BC%F0%9D%97%B4%F0%9D%98%86+%7C+%F0%9D%97%95%F0%9D%97%B2%F0%9D%98%80%F0%9D%98%81+%F0%9D%97%A8%F0%9D%98%80%F0%9D%97%B2%F0%9D%97%B1+%F0%9D%97%9F%F0%9D%97%AE%F0%9D%97%BD%F0%9D%98%81%F0%9D%97%BC%F0%9D%97%BD+%F0%9D%97%A6%F0%9D%97%B5%F0%9D%97%BC%F0%9D%97%BD+%F0%9D%97%B6%F0%9D%97%BB+%F0%9D%97%97%F0%9D%97%B5%F0%9D%97%AE%F0%9D%97%B8%F0%9D%97%AE/data=!4m7!3m6!1s0x3755b9f0e0c633ab:0xe293989f8a353d3d!8m2!3d23.7385902!4d90.3843738!16s%2Fg%2F11t5q5w4g_!19sChIJqzPG4PC5VTcRPT01ip-Yk-I?authuser=0&hl=en&rclk=1
R-One Computer(Mirpur-10),https://www.google.com/maps/place/R-One+Computer%28Mirpur-10%29/data=!4m7!3m6!1s0x3755c1ba3ed2b0b9:0xfea418821274a3d3!8m2!3d23.8067168!4d90.3690143!16s%2Fg%2F11j1sq4x9k!19sChIJubDSPrrBVTcR06N0EoIYpP4?authuser=0&hl=en&rclk=1
UNIQUE COMPUTER SOLUTION,https://www.google.com/maps/place/UNIQUE+COMPUTER+SOLUTION/data=!4m7!3m6!1s0x3755c1196f392bef:0xfddf7cf6d42f1e25!8m2!3d23.8066302!4d90.3690243!16s%2Fg%2F11qp4v527l!19sChIJ7ys5bxnBVTcRJR4v1PZ83_0?authuser=0&hl=en&rclk=1
Universe Computer Care,https://www.google.com/maps/place/Universe+Computer+Care/data=!4m7!3m6!1s0x3755c0d69219d2d9:0x89b217abbe577ee4!8m2!3d23.8066416!4d90.36921!16s%2Fg%2F11f_zm09lc!19sChIJ2dIZktbAVTcR5H5XvqsXsok?authuser=0&hl=en&rclk=1
Khan computer Care Centre,https://www.google.com/maps/place/Khan+computer+Care+Centre/data=!4m7!3m6!1s0x3755c1b5c8bb53ef:0x118a97c5e56ae625!8m2!3d23.8268036!4d90.3735218!16s%2Fg%2F11kgs2fpg5!19sChIJ71O7yLXBVTcRJeZq5cWXihE?authuser=0&hl=en&rclk=1
Prime StarTechnology,https://www.google.com/maps/place/Prime+StarTechnology/data=!4m7!3m6!1s0x3755c0cd72eca4dd:0xd4d758841d9549bf!8m2!3d23.7971371!4d90.3730299!16s%2Fg%2F11c31tk5r7!19sChIJ3aTscs3AVTcRv0mVHYRY19Q?authuser=0&hl=en&rclk=1
Prime StarTechnology,https://www.google.com/maps/place/Prime+StarTechnology/data=!4m7!3m6!1s0x3755c0cd72eca4dd:0xd4d758841d9549bf!8m2!3d23.7971371!4d90.3730299!16s%2Fg%2F11c31tk5r7!19sChIJ3aTscs3AVTcRv0mVHYRY19Q?authuser=0&hl=en&rclk=1
Mirpur Computer মিরপুর কম্পিউটার,https://www.google.com/maps/place/Mirpur+Computer+%E0%A6%AE%E0%A6%BF%E0%A6%B0%E0%A6%AA%E0%A7%81%E0%A6%B0+%E0%A6%95%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A6%BF%E0%A6%89%E0%A6%9F%E0%A6%BE%E0%A6%B0/data=!4m7!3m6!1s0x3755c1cf291d8077:0x9ff059ddcddcde9!8m2!3d23.8058787!4d90.3671537!16s%2Fg%2F11h67xxw2s!19sChIJd4AdKc_BVTcR6c3d3J0F_wk?authuser=0&hl=en&rclk=1
TOTAL 360,https://www.google.com/maps/place/TOTAL+360/data=!4m7!3m6!1s0x3755c17dc9ae7949:0x6425489bd4ef6a8b!8m2!3d23.7978512!4d90.3530032!16s%2Fg%2F11lynvkd_0!19sChIJSXmuyX3BVTcRi2rv1JtIJWQ?authuser=0&hl=en&rclk=1
RS TRADE INT,https://www.google.com/maps/place/RS+TRADE+INT/data=!4m7!3m6!1s0x3755c0d692c00001:0xf52c527ac2c93160!8m2!3d23.8066302!4d90.3690243!16s%2Fg%2F11hzjgsfgk!19sChIJAQDAktbAVTcRYDHJwnpSLPU?authuser=0&hl=en&rclk=1
Ray It Gadgets,https://www.google.com/maps/place/Ray+It+Gadgets/data=!4m7!3m6!1s0x3755c71279af31d9:0x90ac3bcea03c1310!8m2!3d23.7864636!4d90.3770416!16s%2Fg%2F11ryh0xhmq!19sChIJ2TGveRLHVTcREBM8oM47rJA?authuser=0&hl=en&rclk=1
BM Computers (Dhaka Outlet),https://www.google.com/maps/place/BM+Computers+%28Dhaka+Outlet%29/data=!4m7!3m6!1s0x3755c16a7e3427a9:0xb479aab80f55f91e!8m2!3d23.8064789!4d90.3695058!16s%2Fg%2F11k3jdchgt!19sChIJqSc0fmrBVTcRHvlVD7iqebQ?authuser=0&hl=en&rclk=1
Sardar Tech | Used laptop shop in Dhaka,https://www.google.com/maps/place/Sardar+Tech+%7C+Used+laptop+shop+in+Dhaka/data=!4m7!3m6!1s0x3755b97d259cbef1:0x5e21e26891a90711!8m2!3d23.7371681!4d90.3860289!16s%2Fg%2F11twr5z651!19sChIJ8b6cJX25VTcREQepkWjiIV4?authuser=0&hl=en&rclk=1
1833 Tech BD,https://www.google.com/maps/place/1833+Tech+BD/data=!4m7!3m6!1s0x3755c1075fa7c959:0xc1c9aa2807219049!8m2!3d23.8066302!4d90.3690243!16s%2Fg%2F11v05spx7v!19sChIJWcmnXwfBVTcRSZAhByiqycE?authuser=0&hl=en&rclk=1
